gallery_name,gallery_website,startup_id,startup_name,startup_website,match_score
HighPerformr AI,https://highperformr.ai,highperformr-ai,HighPerformr AI,https://highperformr.ai,100
MapmyGenome,https://mapmygenome.in,mapmygenome,MapmyGenome,https://mapmygenome.in,100
OneImpression,https://oneimpression.ai,oneimpression,OneImpression,https://oneimpression.ai,100
Blinkit (Hyderabad Hub),https://blinkit.com,blinkit-hyd,Blinkit (Hyderabad Hub),https://blinkit.com,100
Aadya Infotechs,https://aadyainfotechs.com,aadyainfotechs,Aadya Infotechs,https://aadyainfotechs.com,100
AdOnMo,https://adonmo.com,adonmo,AdOnMo,https://adonmo.com,100
Adya.ai,https://adya.ai,adya-ai,Adya.ai,https://adya.ai,100
Aganitha AI,https://aganitha.ai,aganitha,Aganitha AI,https://aganitha.ai,100
AlgoHire,https://algohire.ai,algohire-ai,AlgoHire,https://algohire.ai,100
Alpine Intellect,https://thealpinecode.com,alpine-intellect,Alpine Intellect,https://thealpinecode.com,100
Antariksh Technology Ventures,https://antarikshtech.com,antariksh-technology-ventures,Antariksh Technology Ventures,https://antarikshtech.com,100
Apollo Micro Systems,https://apollo-micro.com,apollo-micro-systems,Apollo Micro Systems,https://apollo-micro.com,100
Aragen Life Sciences,https://aragen.com,aragen-life-sciences,Aragen Life Sciences,https://aragen.com,100
Archana Infosolutions,https://archanainfosolutions.com,archanainfosolutions,Archana Infosolutions,https://archanainfosolutions.com,100
Arkle Energy,https://arkleenergy.com,arkle-energy,Arkle Energy,https://arkleenergy.com,100
Artus AI,https://artusai.co,artus-ai,Artus AI,https://artusai.co,100
ASBL,https://asbl.in,asbl,ASBL,https://asbl.in,100
Asset Telematics,https://assettelematics.com,asset-telematics,Asset Telematics,https://assettelematics.com,100
Aurita Bikes,https://auritabikes.com,aurita-bikes,Aurita Bikes,https://auritabikes.com,100
Autocracy Machinery,https://autocracymachinery.com,autocracy-machinery,Autocracy Machinery,https://autocracymachinery.com,100
Banyan Nation,https://banyannation.com,banyan-nation,Banyan Nation,https://banyannation.com,100
BareLogics,https://barelogics.com,barelogics,BareLogics,https://barelogics.com,100
BeSpoke AI Stylist,https://bespokeaistylist.com,bespoke-ai-stylist,BeSpoke AI Stylist,https://bespokeaistylist.com,100
Betalectic,https://betalectic.com,betalectic,Betalectic,https://betalectic.com,100
BeyondTech,https://beyondtech.in,beyondtech,BeyondTech,https://beyondtech.in,100
Bhanzu,https://bhanzu.com,bhanzu,Bhanzu,https://bhanzu.com,100
