id,name,website,industry,area,careers_url,job_title,job_category,salary_range,experience_level
highperformr-ai,"HighPerformr AI",https://highperformr.ai,"AI & Machine Learning","Knowledge City / T-Hub",https://highperformr.ai/careers,,,,
mapmygenome,"MapmyGenome",https://mapmygenome.in,"HealthTech & BioTech","Madhapur",https://mapmygenome.in/careers,,,,
oneimpression,"OneImpression",https://oneimpression.ai,"E-Commerce & Consumer","Madhapur",https://oneimpression.ai/careers,,,,
blinkit-hyd,"Blinkit (Hyderabad Hub)",https://blinkit.com,"E-Commerce & Consumer","Financial District",https://blinkit.com/careers,,,,
aadyainfotechs,"Aadya Infotechs",https://aadyainfotechs.com,"SaaS & Enterprise","Begumpet",https://aadyainfotechs.com/careers,,,,
adonmo,"AdOnMo",https://adonmo.com,"E-Commerce & Consumer","Gachibowli",https://adonmo.com/careers,,,,
adya-ai,"Adya.ai",https://adya.ai,"AI & Machine Learning","Begumpet",https://adya.ai/careers,,,,
aganitha,"Aganitha AI",https://aganitha.ai,"HealthTech & BioTech","Gachibowli",https://aganitha.ai/careers,,,,
algohire-ai,"AlgoHire",https://algohire.ai,"SaaS & Enterprise","Madhapur",https://algohire.ai/careers,,,,
alpine-intellect,"Alpine Intellect",https://thealpinecode.com,"AI & Machine Learning","Gachibowli",https://thealpinecode.com/careers,,,,
antariksh-technology-ventures,"Antariksh Technology Ventures",https://antarikshtech.com,"DeepTech & Aerospace","HITEC City",https://antarikshtech.com/careers,,,,
apollo-micro-systems,"Apollo Micro Systems",https://apollo-micro.com,"AI & Machine Learning","HITEC City",https://apollo-micro.com/careers,,,,
aragen-life-sciences,"Aragen Life Sciences",https://aragen.com,"HealthTech & BioTech","HITEC City",https://aragen.com/careers,,,,
archanainfosolutions,"Archana Infosolutions",https://archanainfosolutions.com,"SaaS & Enterprise","Begumpet",https://archanainfosolutions.com/careers,,,,
arkle-energy,"Arkle Energy",https://arkleenergy.com,"CleanTech & EV","Gachibowli",https://arkleenergy.com/careers,,,,
artus-ai,"Artus AI",https://artusai.co,"AI & Machine Learning","Knowledge City / T-Hub",https://artusai.co/careers,,,,
asbl,"ASBL",https://asbl.in,"E-Commerce & Consumer","Gachibowli",https://asbl.in/careers,,,,
asset-telematics,"Asset Telematics",https://assettelematics.com,"SaaS & Enterprise","Gachibowli",https://assettelematics.com/careers,,,,
aurita-bikes,"Aurita Bikes",https://auritabikes.com,"CleanTech & EV","Knowledge City / T-Hub",https://auritabikes.com/careers,,,,
autocracy-machinery,"Autocracy Machinery",https://autocracymachinery.com,"DeepTech & Aerospace","HITEC City",https://autocracymachinery.com/careers,,,,
banyan-nation,"Banyan Nation",https://banyannation.com,"CleanTech & EV","Gachibowli",https://banyannation.com/careers,,,,
barelogics,"BareLogics",https://barelogics.com,"SaaS & Enterprise","Financial District",https://barelogics.com/careers,,,,
bespoke-ai-stylist,"BeSpoke AI Stylist",https://bespokeaistylist.com,"AI & Machine Learning","Madhapur",https://bespokeaistylist.com/careers,,,,
betalectic,"Betalectic",https://betalectic.com,"SaaS & Enterprise","Madhapur",https://betalectic.com/careers,,,,
beyondtech,"BeyondTech",https://beyondtech.in,"SaaS & Enterprise","Kondapur",https://beyondtech.in/careers,,,,
bhanzu,"Bhanzu",https://bhanzu.com,"EdTech","HITEC City",https://bhanzu.com/careers,,,,
bharat-biotech,"Bharat Biotech",https://bharatbiotech.com,"HealthTech & BioTech","HITEC City",https://bharatbiotech.com/careers,,,,
